"Типоразмер","s","q","l3","q1","e","w","a4","d","a5","d1","a6","t","a7","u","f","f1","h","H","h1","M1","p3","c1","c2","M","G","w1"
"GKA39","M10","210","20","139","100","60","60","Φ30H7","35","Φ45","82","33,3","97","8","147","2,5","100-0.5","15","8,5","M8","164","17","105","M10×25","Φ120","63"
"GKA49","M10","243","20","166","110","75","70","Φ35H7","40","Φ50","100","38,3","115","10","170","3","112-0.5","14","7,2","M8","185","22","132","M12×30","Φ160","78"
"GKA59","M12","270","25","173","122","83","88","Φ40H7","47","Φ55","105","43,3","120","12","182","3","132-0.5","20","13,1","M12","215","29","142","M16×40","Φ160","86"
"GKA69","M12","275","25","179","130","90","88","Φ40H7","42","Φ55","110","43,3","125","12","182","3,5","140-0.5","21","20","M12","226","29","156","M16×40","Φ160","94"
"GKA79","M16","313","32","202","156","105","102","Φ50H7","48","Φ70","122","53,8","139","14","204","4","180-0.5","23","31,3","M12","288","32","183","M16×45","Φ200","108"
"GKA89","M16","391","32","257","170","120","118","Φ60H7","65","Φ85","160","64,4","190","18","280","4","212-0.5","30","25,9","M16","338","36","210","M20×50","Φ250","123"
"GKA99","M20","435","36","277","226","150","160","Φ70H7","83","Φ95","165","74,9","190","20","298","4","265-1","28","32,3","M16","417","34","270","M20×50","Φ300","153"
"GKA109","M24","537","44","341","268","175","190","Φ90H7","100","Φ118","190","95,4","230","25","370","3","315-1","","52","/","500","40","313","M24×60","Φ350","178"
