"Типоразмер","s","b","p3","a2","h","n","a","f0","e","a3","f1","b1","w","n0","d","h1","d1","c","t","q","u","q1","f","c1","c2","M","G","w1"
"GKA129","Φ39","350","592","115","375-1","100","330","526","400","110","2,5","420","205","111","Φ100H7","53","Φ135","45","106,4","225-0.5","28","390","440","38","373","M24×60","Φ450","208"
"GKA159","Φ39","380","705","140","450-1","100","420","634","500","130","3","500","250","125","Φ120H7","71,7","Φ155","54","127,4","280-1","32","426","480","36","460","M24×60","Φ550","253"
