"Типоразмер","q","q1","h","h1","e","p3","a4","a5","a6","a7","f","f1","d2","d1","d","d3","w","w1","w2","G","c1","c2","c3","c4","s","l3","M","H","","","","","","","","","","","","","",""
"GKH39","210","139","100-0.5","8,5","100","164","60","35","82","97","147","2,5","Φ80","Φ45","Φ30H7","Φ30h6","60","95","86","Φ120","31","20","36","25","M10","20","M8","12","","","","","","","","","","","","","",""
"GKH49","243","166","112-0.5","7,2","110","185","70","40","100","115","170","3","Φ88","Φ50","Φ35H7","Φ35h6","75","110","102","Φ160","32","20","37","25","M10","20","M8","12","","","","","","","","","","","","","",""
"GKH59","269","173","132-0.5","13,1","122","215","88","47","105","120","182","3","Φ102","Φ55","Φ40H7","Φ40h6","83","120","112","Φ160","26","20","31","25","M12","25","M12","20","","","","","","","","","","","","","",""
"GKH69","274","179","140-0.5","20","130","226","88","42","110","125","182","3,5","Φ102","Φ55","Φ40H7","Φ40h6","90","126","118","Φ160","38","20","43","25","M12","25","M12","20","","","","","","","","","","","","","",""
"GKH79","312","202","180-0.5","31,3","154","288","102","48","122","139","204","4","Φ127","Φ70","Φ50H7","Φ50h6","105","146","136","Φ200","36","30","41","35","M16","32","M12","20","","","","","","","","","","","","","",""
"GKH89","390","257","212-0.5","25,9","170","338","118","65","160","190","280","4","Φ159","Φ85","Φ65H7","Φ65h6","120","170","161","Φ250","41","40","46","45","M16","32","M16","26","","","","","","","","","","","","","",""
"GKH99","435","277","265-1","32,3","226","417","160","83","165","190","298","4","Φ174","Φ95","Φ75H7","Φ75h6","150","206","195","Φ300","55","50","60","55","M20","36","M16","26","","","","","","","","","","","","","",""
"GKH109","537","341","315-1","52","266","500","190","100","190","230","370","2,5","Φ234","Φ118","Φ95H7","Φ95h6","175","245","230","Φ350","65","60","75","70","M24","44","/","","","","","","","","","","","","","","",""
