"Типоразмер","q1","q","c","s","n0","b1","f0","a3","f","n","a2","b","h","p3","a","e","w","w1","w2","f1","c1","c2","c3","c4","d2","d1","d","d3","h1","G","","","","","","","","","","","",""
"GKH129","390","225-0.5","45","Φ39","111","420","526","110","440","100","115","350","375-1","592","330","400","205","296","280","2,5","85","70","95","80","Φ250","Φ135","Φ105H7","Φ105h6","53","Φ450","","","","","","","","","","","",""
"GKH159","426","280-1","54","Φ39","125","500","634","130","480","100","140","380","450-1","705","420","500","250","350","330","3","90","80","100","90","Φ287","Φ155","Φ125H7","Φ125h6","71,7","Φ550","","","","","","","","","","","",""
