"Типоразмер","a1","a2","a3","p3","q","q1","b1","b2","b3","f3","f4","f5","f6","h1","n","e2","e3","c","a","f2","f1","h","n1","n2","n3","e","e1","c1","c2","c3","c4","w","w1","w2","s","d2","d","d5","d3","d4","d1","G"
"GKH169","200","340","70","786","315-1","522","265","210","115","220","450","250","22","97","50","210","70","50","480","65","15","500-1","155","385","115","580","104","122","90","130","100","305","442","423","Φ33","Φ317","Φ135H7","Φ140H7","Φ135h6","Φ140h6","Φ180","Φ550"
"GKH189","215","405","95","942","355-1","582","305","250","135","250","550","305","5","112","50","250","60","50","540","67","17","600-1","160","460","150","640","110","117","95","130","105","337","474","455","Φ39","Φ367","Φ155H7","Φ160H7","Φ155h6","Φ160h6","Φ210","Φ550"
